Name,Artist,Times
Aaren,7012,1160
Aaren,7021,338
Aaren,7015,617
Aaren,3541,346
Aaren,7034,216
Aaren,7029,163
Aaren,6980,155
Aaren,3520,488
Aaren,747,342
Aaren,113,229
Aaren,1943,181
Aaren,7017,488
Aaren,6762,827
Aaren,7018,475
Aaren,7024,364
Aaren,7037,174
Aaren,138,392
Aaren,5043,174
Aaren,7013,1412
Aaren,238,165
Aaren,17517,373
Aaren,6994,1172
Aaren,10592,954
Aaren,7026,227
Aaren,3862,400
Aaren,7035,152
Aaren,7023,426
Aaren,7014,742
Aaren,1173,413
Aaren,7028,168
Aaren,154,220
Aaren,7334,1030
Aaren,3506,206
Aaren,7030,154
Aaren,418,324
Aaren,7019,569
Aaren,7027,275
Aaren,148,209
Aaren,11797,835
Aaren,194,401
Aaren,6582,565
Aaren,3527,722
Aaren,7031,253
Abbey,14884,58165
Abbey,13965,693
Abbey,1195,470
Abbey,4466,322
Abbey,968,280
Abbey,333,1673
Abbey,2660,1248
Abbey,2608,2702
Abbey,65,106760
Abbey,328,565
Abbey,512,438
Abbey,12378,35204
Abbey,2983,4520
Abbey,540,1516
Abbey,4747,483
Abbey,1090,611
Abbey,1045,3644
Abbey,1194,1924
Abbey,2366,50554
Abbey,16461,63223
Abbey,89,334
Abbey,15412,71409
Abbey,1400,1241
Abbey,-1,79550
Abbey,538,557
Abbey,1193,276
Abbey,190,1649
Abbey,533,1044
Abbey,303,519
Abbey,1246,2518
Abbey,498,92079
Abbey,14173,18106
Abbey,220,1284
Abbey,8836,33596
Abbey,507,859
Abbey,1375,697
Abbey,1200,319
Abbey,227,3984
Abbey,1048,636
Abbey,6340,26029
Abbey,546,386
Abbey,2850,967
Abbey,1531,41719
Abbey,1239,2405
Abbey,10038,60985
Abbi,4192,1518
Abbi,-1,1061
Abbi,10827,714
Abbi,-1,1884
Abbi,-1,121
Abbi,12824,1011
Abbi,-1,1386
Abbi,14531,2514
Abbi,3283,2229
Abbi,17811,2502
Abbi,-1,594
Abbi,-1,981
Abbi,6711,939
Abbi,-1,218
Abbi,3221,47
Abbi,58,1395
Abbi,10511,2512
Abbi,6410,1046
Abbi,6540,903
Abbi,5961,1668
Abbi,4616,554
Abbi,13427,1227
Abbi,6945,996
Abbi,1260,741
Abbi,8073,792
Abbi,14295,76
Abbi,-1,1077
Abbi,17838,1940
Abbi,-1,1968
Abbi,9475,79
Abbi,264,1199
Abbi,1735,629
Abbi,-1,432
Abbi,95,78
Abbi,-1,70
Abbi,6664,521
Abbi,16885,127
Abbi,6763,2254
Abbi,7218,931
Abbi,18033,1175
Abbi,15871,866
Abbi,3011,1036
Abbi,11463,656
Abbi,5165,380
Abbi,18203,508
Abbi,9112,370
Abbie,5964,1955
Abbie,-1,2132
Abbie,9741,2485
Abbie,17856,4236
Abbie,7336,2929
Abbie,-1,1095
Abbie,-1,4206
Abbie,11413,2914
Abbie,17332,1837
Abbie,948,307
Abbie,-1,3765
Abbie,16614,3478
Abbie,10386,1918
Abbie,-1,290
Abbie,8026,2760
Abbie,13140,3086
Abbie,13999,593
Abbie,5129,1889
Abbie,-1,2931
Abbie,-1,1429
Abbie,6728,3862
Abbie,3497,2259
Abbie,15792,3249
Abbie,2259,3790
Abbie,14535,428
Abbie,7559,1349
Abbie,16007,1229
Abbie,11755,4076
Abbie,9441,3881
Abbie,16315,3039
Abbie,14341,3219
Abbie,155,1411
Abbie,-1,3842
Abbie,-1,1987
Abbie,-1,3603
Abbie,8838,3455
Abbie,2069,624
Abbie,-1,988
Abbie,1359,1458
Abbie,2982,1623
Abbie,6340,3002
Abbie,-1,3321
Abbie,-1,3485
Abbie,-1,3722
Abbie,16268,2230
Abbie,10186,3868
Abbie,11265,216
Abbie,16034,681
Abbie,16165,183
Abby,-1,490
Abby,2419,612
Abby,6516,91
Abby,8266,448
Abby,9983,64
Abby,2810,572
Abby,-1,164
Abby,-1,618
Abby,13015,160
Abby,12356,493
Abby,2351,508
Abby,11907,473
Abby,14462,0
Abby,9830,269
Abby,5657,310
Abby,5679,156
Abby,-1,527
Abby,16315,119
Abby,-1,583
Abby,7716,388
Abby,9858,567
Abby,13047,103
Abby,5692,583
Abby,-1,135
Abby,582,94
Abby,9102,39
Abby,2816,593
Abby,5500,615
Abby,442,150
Abby,4115,81
Abby,-1,233
Abby,6582,442
Abby,3667,531
Abby,8417,72
Abby,9089,127
Abigale,457,24
Abigale,2391,56
Abigale,301,38
Abigale,295,140
Abigale,9854,98
Abigale,2395,35
Abigale,340,22
Abigale,9312,118
Abigale,292,178
Abigale,889,73
Abigale,265,31
Abigale,913,58
Abigale,1441,37
Abigale,320,58
Abigale,788,36
Abigale,2023,0
Abigale,525,94
Abigale,318,42
Abigale,285,88
Abigale,1936,24
Abigale,456,21
Abigale,465,57
Abigale,458,24
Abigale,329,108
Abigale,305,0
Abigale,466,45
Abigale,332,47
Abigale,641,56
Abigale,294,94
Abigale,11874,29
Abigale,476,26
Abigale,67,151
Abigale,257,28
Abigale,2390,89
Abigale,484,20
Abigale,310,86
Abigale,302,64
Abigale,2397,27
Abigale,1449,20
Abigale,14880,101
Abigale,288,26
Abigale,16454,87
Abigale,535,70
Abigale,792,61
Abigale,349,22
Abigale,2396,21
Abra,53,44
Abra,6825,26
Abra,605,0
Abra,206,0
Abra,3447,25
Abra,3354,0
Abra,3686,0
Abra,599,21
Abra,6831,0
Abra,3364,41
Abra,5152,0
Abra,6824,38
Abra,578,0
Abra,5782,0
Abra,3285,0
Abra,233,81
Abra,234,0
Abra,6834,0
Abra,81,0
Abra,6829,0
Abra,434,0
Abra,1508,0
Abra,2289,20
Abra,612,0
Abra,1970,32
Abra,6205,41
Abra,6828,0
Abra,3666,0
Abra,6827,26
Abra,611,0
Abra,3011,0
Abra,6833,0
Abra,9797,24
Abra,5434,21
Abra,4079,0
Abra,1881,0
Abra,629,0
Ada,816,257
Ada,-1,183
Ada,1185,303
Ada,4189,216
Ada,810,113
Ada,687,116
Ada,1650,80
Ada,-1,51
Ada,1672,548
Ada,1670,124
Ada,500,277
Ada,2333,156
Ada,378,102
Ada,834,200
Ada,499,79
Ada,2430,146
Ada,-1,400
Ada,1675,110
Ada,230,137
Ada,1194,184
Ada,1863,353
Ada,7660,157
Ada,-1,0
Ada,18136,340
Ada,209,356
Ada,3239,194
Ada,691,139
Ada,1246,264
Ada,497,150
Ada,6773,127
Ada,490,155
Ada,1197,252
Ada,1905,121
Ada,3084,101
Ada,481,206
Ada,4428,263
Ada,198,103
Ada,1406,114
Ada,-1,259
Ada,2214,92
Ada,488,129
Ada,2850,111
Ada,412,225
Ada,9241,0
Adaline,11120,1131
Adaline,12202,135
Adaline,18559,1486
Adaline,16761,1128
Adaline,6818,2327
Adaline,12344,621
Adaline,13291,587
Adaline,14520,143
Adaline,16117,2378
Adaline,3918,2744
Adaline,15685,3154
Adaline,-1,2320
Adaline,12559,1346
Adaline,8500,3873
Adaline,15402,2378
Adaline,2182,346
Adaline,15148,4240
Adaline,8862,1566
Adaline,3984,3160
Adaline,7794,3103
Adaline,11766,4007
Adaline,16087,3603
Adaline,2724,1027
Adaline,15426,3399
Adaline,1357,30
Adaline,-1,3824
Adaline,17873,1672
Adaline,11463,1474
Adaline,8435,173
Adaline,1153,884
Adel,5946,215
Adel,13222,1574
Adel,18341,2318
Adel,14264,1120
Adel,12296,284
Adel,15349,2514
Adel,3540,1375
Adel,11466,663
Adel,525,3104
Adel,6813,1781
Adel,-1,25
Adel,-1,2619
Adel,-1,2357
Adel,9456,1127
Adel,7632,445
Adel,2531,501
Adel,-1,3015
Adel,-1,616
Adel,7472,988
Adel,1317,2990
