,word,redact
0,ion,1
1,mo.,1
2,wwwitalconschicago.org,1
3,county,0
4,sanchez,1
5,bank,0
6,diocese,1
7,idol,1
8,detective,1
9,cingular,1
10,jaci,1
11,ic100c,1
12,counter,1
13,catholic,1
14,screensaver,1
15,faucets,1
16,weavers,1
17,edmund,1
18,insulation,1
19,comedyclubs,1
20,mhsteca.com,1
21,1st,1
22,business,1
23,label,1
24,kelly,1
25,reducers,1
26,millimeter,1
27,mother's,1
28,home,1
29,brasil,1
30,full,1
31,angeles,1
32,cingular,1
33,jensen,1
34,for,0
35,ulead,1
36,genivive,1
37,wireless,1
38,quayle,1
39,7,1
40,herald,1
41,popular,1
42,class,1
43,www.ask.com,1
44,of,1
45,battista,1
46,churches,1
47,map,1
48,vendo,1
49,stone,1
