Ethnicity,Language & Origin,Primary homeland,"Subgroups, tribes & castes",Majority (plurality) religion and sect
Abazins,Northwest Caucasian → Abazgi → Abaza,Abazinia (Russia),"Significant populations in Turkey, Egypt and Ukraine",Islam → Sunni Islam
Abkhazians,Northwest Caucasian → Abazgi → Abkhaz,Abkhazia (Georgia) [note 1],,"Christianity → Eastern Orthodoxy, Islam → Sunni Islam"
Acehnese,"Austronesian → Chamic → Acehnese, Austronesian → Malayic → Minangkabau → Aneuk Jamee",Aceh (Indonesia),Aneuk Jamee,Islam → Sunni Islam
Acholi,Nilo-Saharan → Nilotic → Luo → Acholi,"Acholiland (Uganda, South Sudan)",,Christianity
Adjoukrou,Niger–Congo → Kwa → Adjukru,Dabou (Ivory Coast),,Christianity
Afar,Afroasiatic → Cushitic → Afar,"Afaria (Ethiopia, Djibouti, Eritrea)",,Islam
Afemai,Niger–Congo → Edoid → Afenmai,Edo State (Nigeria),,Christianity
African-Americans,Indo-European → Germanic → English,"Senegambia (Senegal, The Gambia, Guinea-Bissau and Mali), Congo (Angola, Congo, Democratic Republic of the Congo and Gabon)","Gullah, Louisiana Creoles, Americo-Liberians, Sierra Leone Creoles",Christianity → Protestantism → Calvinism
Afrikaners,Indo-European → Germanic → Dutch → Afrikaans,"South Africa (Northern and Western Cape), Namibia, Botswana",Boers,Christianity → Protestantism → Calvinism
Afro-Caribbean,"Indo-European → Germanic → English → English Creole, Indo-European → Romance → Spanish → Caribbean Spanish, Indo-European → Romance → French → French Creole, Indo-European → Germanic → Dutch → Surinamese Dutch, Indo-European → Romance → Portuguese → Papiamento, Niger–Congo → Yoruba, Niger–Congo → Igbo",Caribbean,"Afro-Antiguan and Barbudan, Afro-Aruban, Afro-Bahamian, Afro-Barbadian, Afro-Bermudian, Afro-Colombians, Afro-Costa Ricans, Afro-Cuban, Afro-Curaçaoans, Afro-Dominican (Dominica), Afro-Dominican (Dominican Republic), Afro-Grenadian, Afro-Guatemalan, Afro-Guyanese, Afro-Haitians, Afro-Hondurans, Afro-Jamaican, Afro-Kittian and Nevisian, Afro-Mexicans, Afro-Nicaraguan, Afro-Panamanian, Afro-Puerto Ricans, Afro-Saint Lucian, Afro-Salvadoran, Afro-Surinamese, Afro-Trinidadians and Tobagonians, Afro-Venezuelan, Afro-Vincentian, Belizean Creole people","Christianity, Islam, Rastafari, Obeah, Santería, Orisha, Trinidad Orisha, Yoruba, Vodou, Traditional African religion, Afro-American religion, Baháʼí"
Agaw,Afroasiatic → Cushitic → Agaw[note 2],"Horn of Africa (Ethiopia, Eritrea)[note 3]","Bilen, Ximre, Awi, Qemant",Christianity → Oriental Orthodoxy
Ahom,Kra–Dai → Tai → Ahom[note 4],Assam (India),,Hinduism
Aimaq,Indo-European → Iranian → Persian → Aimaq,Afghanistan,"Aimaq Hazara, Firozkohi, Jamshidi, Kipchak, Timuri, Taymani",Islam → Sunni Islam
Ainus,Ainu languages[note 2],"Hokkaido, Tōhoku region (Japan), Sakhalin, Kamchatka Peninsula, Khabarovsk Krai (Russia), Kuril Islands (Russia or Japan)","Hokkaido Ainu, Tokyo Ainu, Sakhalin Ainu","Animism → Ainu folk religion, Buddhism → Nichiren Shōshū, Shinto, Christianity → Eastern Orthodoxy → Russian Orthodoxy"
Aja,Niger–Congo → Kwa → Gbe → Adja,"Benin, Togo",,Traditional African religions
Akan,Niger–Congo → Kwa → Akan[note 5],Gold Coast (Ghana)[note 6],"Twi (including Ashanti and Akuapem), Fante, Abbé, Abidji, Ahafo, Ahanta, Akwamu, Akyem, Anyi, Aowin, Assin, Attie, Avatime, Avikam, Baoulé, Brong, Chakosi, Evalue, M'Bato, Nzema, Sefwi, Tchaman, Wasa, Abure, Alladian",Christianity
Akha,Sino-Tibetan → Loloish → Hani → Akha,Yunnan (Pu'er and Xishuangbanna)[note 7],Akeu,Animism
Altaians,"Turkic → Kipchak → Southern Altai, Turkic → Siberian Turkic → Northern Altai","Altai Republic and Altai Krai (Russia), Altai Mountains (Mongolia), Altay Prefecture (China)",,Altai faith
Albanians,Indo-European → Albanian,"Albania, Kosovo, Ilirida (North Macedonia), Chameria (Greece), Preševo Valley (Serbia)","Ghegs, Tosks (including Arbëreshë and Arvanites), Kosovars, Cham Albanians, Macedonian Albanians, along with significant populations in Turkey, Germany, Switzerland and the United States",Islam and Christianity
Alur,Nilo-Saharan → Nilotic → Luo → Alur,"West Nile sub-region (Uganda), Ituri (Democratic Republic of the Congo)",,Christianity
Ambonese,Austronesian → Malayic → Malay → Ambonese Malay,Ambon Island (Indonesia),,Christianity → Protestantism → Calvinism
Ambundu,Niger–Congo → Bantu → Kimbundu,Angola,,"Christianity, Traditional African religions"
Amhara,Afroasiatic → Semitic → Ethiopic → Amharic,Amharia (Ethiopia),,Christianity → Oriental Orthodoxy
Amis,Austronesian → Formosan → Amis,Taiwan (Taitung and Hualien Counties),,"Animism, Christianity"
Anaang,Niger–Congo → Cross River → Ibibio-Efik → Anaang,Akwa Ibom State (Nigeria),,Christianity
Anuak,Nilo-Saharan → Nilotic → Luo → Anuak,"Anuakia (Ethiopia), Boma (South Sudan)",,Christianity
Apache,Dené–Yeniseian → Na-Dene → Apachean[note 8],Apacheria (United States),"Chiricahua, Jicarilla, Lipan, Mescalero, Salinero, Plains Apache, Western Apache",Native American religion → Native American Church
Arabs,Afroasiatic → Semitic → Arabic,"Arabian peninsula, Syrian Desert and West Asia[note 9]","Bedouins, Shirazis (including Zanzibaris, Comorians and Maores), Baggara, Arab-Berbers (including Algerians, Libyans, Mauritanians, Moroccans, Sahrawis and Tunisians), Bahrainis, Sudanese, Druze, Egyptians, Iraqis (including Marsh Arabs), Palestinians, Lebanese, Kuwaitis, Omanis (including Dhofaris), Qataris, Saudis (including Rashaida, Hejazis, and Najdis), Syrians (including Alawites), Jordanians, Emiratis, Yemenis (including Hadhrami, Taʽizzi-Adenis, Akhdam, Sanʽani, and Tihami), along with significant populations in Brazil, Indonesia, Iran, Turkey, Pakistan (including Mugheri), Venezuela, Afghanistan, and the United States",Islam
Argobba,Afroasiatic → Semitic → Ethiopic → Argobba[note 10],"Ethiopia (Afar, Harari, Amhara, and Oromia Regions)[note 3]",,Islam → Sunni Islam
Armenians,Indo-European → Armenian,"Greater Armenia (Armenia, Republic of Artsakh, Turkey)[note 11]","Turkish Armenians (including Armenians in Istanbul, Hemshin and Hidden Armenians), Cherkesogai, Armeno-Tats, Hayhurum Karabakhis, along with significant populations in Russia, the United States, France, Georgia (including the Javakheti Armenians), Lebanon, and Germany",Christianity → Oriental Orthodoxy
Aromanians,Indo-European → Romance → Aromanian,"Balkans (Greece, Albania, North Macedonia, Serbia, Bulgaria, Romania)[note 3]","Significant populations in Greece, Albania, and North Macedonia",Christianity → Eastern Orthodoxy
