date,income,term,interest,principal,approved,adj_bls_2,id,race_asian,race_black,race_hispanic/latino,race_other,race_white,gender_female,gender_male,gender_non-binary,zip_60611.0,zip_60614.0,zip_60615.0,zip_60623.0,zip_60625.0,zip_60626.0,zip_60637.0,type_auto,type_home,type_personal
2016-01-01,72230.0,180.0,b'gAAAAABijUOsJ3EPkUm8yxwSaECdueStb0rcPR4d8mX9Zdd97I21SM_KwOtb3Tmo1T-XgPLsAN7Mu1qQbGJEgT1vSojpgkhda0P5szI74EVHLdDfwuUPTAM=',b'gAAAAABijUOsTBsenClQRvzMlKhhThFijv9Gwqb8vFaPKRzItK_eoK2v69k4iGKmtH-JJrNnGMn9DUylVpfR8Y4diCHqywwcIA==',False,0.34,AP20161-0-2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2013-03-01,18543.0,360.0,b'gAAAAABijUOseH6oVkQdSwDIQZVV3kfARxU77I4nkeFev2BZUcs6oajIxKTIRlhU4qsdufxwUqM41ZOxJqgm2GTObyEK3fPcKICGTucGoXAZqudbpcc7VQ8=',b'gAAAAABijUOsr1H7VdOJgVUdKWYcnEiNK6EcNI8PwSYQfWTmnLDzNfbjLIyT2Bi816gXbvldYIhNQCL1j1MrPgXwi-qQ3wWcIA==',False,0.14,AP20133-1-23,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2011-11-01,30228.0,240.0,b'gAAAAABijUOs8jvdKqVBeGICMPsUvVprknUIZ1eOaanWvpDh1YBilk6mJyfhbWltuqpY3N24SLLJfcjrYVNAQv7Z8DXt4JkdF87fQyOmBo79P8jXcjJg36I=',b'gAAAAABijUOsTmTYEYpvXUz7FMDfVxx6gYNbB92w9aBCc_iMxFyV7Sbvju51oBEG3rRmR-nVxksS-cTxBpu6vIOFr4ZjwyWmew==',False,0.08,AP201111-2-22,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2014-08-01,11129.0,60.0,b'gAAAAABijUOsHVvTb9vxikQHWDCbs7JJvQUV_XhVDu2lCRVGVaxjgkc7grUUjOPG5MtMC2xcHVaSswcQhqv782_jPxdbLPWmS-OZ7n28OZpD7Wpjemy8xRU=',b'gAAAAABijUOs4M3Vctz9uqP-Ugmm0qax7XrXlNFDx0Bqwk_vGkkeITvI5Sbqs7WIrQze68X_eM_YVjgECsPMksta5tPBCM78HA==',True,0.09,AP20148-1-29,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2011-09-01,53922.0,240.0,b'gAAAAABijUOs_OyZDmv7TTNWSTeMpUIKHGsG16CIHPXH8WkE7vKNXwDUyCZsFIEIbNA9EK2O3V10tcM5wSOlapuNQ_C5lkm_j1kZQYCTWTCOujlSMTjxGZM=',b'gAAAAABijUOs4FVuXPiFEl_2ZLC-mksoRapNxtq_DoeWlCogKrBw4E8kRKyzvXPmt4c9HpjNSUqrgrGHNd7b2l7k_yXo6yq9cg==',False,0.08,AP20119-0-46,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2016-09-01,12567.0,60.0,b'gAAAAABijUOsMS5_i9W3yvyXIjwdRtSMC5uP3jcdAmj_8uWdGYfLIQEquBik423O3hJQYiIGQJt-rhaz_U4dg2EPtMnZdMgWjQQ6zgq8Ph765jku9EVoxvU=',b'gAAAAABijUOsgYMa2Z43rN5gN_m62Vt3DUBTbMO-APqwj2QVweR8BLdCD_OXaTZwLm4DlEh7X6ABk9WcEvPHJn8_DJ6wFaZZcg==',True,0.4,AP20169-3-24,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2013-12-01,10785.0,72.0,b'gAAAAABijUOsrC9vdjhUfmjhG776I0OiSkchsLRjuB49raWx8g3MHIMM7_uyWq_UzFeXEEfJVqiuFaPLyy7h_SX0-jh4YQCyaxkQ0348O0Eq31lkm77jEzU=',b'gAAAAABijUOsjVPLiJzlnMni9A6tqcHuoWQQ9se964K25o7VTA0ZQJu0lLJH-Uge6fuSpdvmD2cUOQY0Ui2jlqbkFTPBO-jTXw==',False,0.09,AP201312-1-63,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2013-05-01,81452.0,240.0,b'gAAAAABijUOszNiEQjn5-utqqEQC9b3ar8nLknfw8TaFJmqus15ZJDePhsxLDyvLLNvtelt8L11h6JrgSvm-HJ5oicoQnXZPYPm4DHs7vmkYNPGB8NoSab0=',b'gAAAAABijUOsHUxZMEViC_aVywo5Sy8xjxIvtusBhoQzxVXpsPJIewt0_NnbnqjHZVtPGBgPxtAqQRgKc7Pt9AFQV_pw6bcPIA==',True,0.11,AP20135-0-47,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2018-08-01,46070.0,18.0,b'gAAAAABijUOsENyiGBZPnVslSt-bXA_oYCSBhq3VuXO7kwBgslZvZdx-CjS6blx3qQe8tD-Em44_ujYbpuMComOA4AYvcJW7d1m1aOpqfKZQgkxacNGM4Do=',b'gAAAAABijUOsn3UPhMRI_VL8sxaGWwHfJVJJ1zK-YD9Gw9iz9_B13kw2IhEbBEJphjMCZ8CdV7Ytg31ntmdYvPW8ufnVd9j5Xg==',True,1.91,AP20188-1-37,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2017-10-01,109872.0,84.0,b'gAAAAABijUOs3PEB9oHn-58eo8RgP5R5cIYhOoY8jTHyz4IMaGAUVkpigJnUAM7jwDtYOAivtiCUDSSzXLf3fUGdjXRuDCFlz6f_-vFb8TwXbg2jv4hgdJA=',b'gAAAAABijUOsfeYccrDNnpibFWkxhlyWDefcOda6iMH2UpkPxqDLzhxtLKrhLe29IYpPcWjCjZkeJ7Kb6xnGlMrGGfErIyEbgQ==',True,1.15,AP201710-2-37,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
